Country,Year,FDI_inflow,ICT_to_total_import,infrast_annual_growth,infrast_value_added,Patent_nr,Patent_r,patent,Intermediate_Import_USD,Intermediate_Import_ProductShare
China,1990,3487000000,NA,3.174669463,290780000000,4305,5832,10137,NA,NA
China,1991,4366000000,NA,13.78537046,330865000000,4051,7372,11423,NA,NA
China,1992,11156000000,NA,21.03404567,400459000000,4387,10022,14409,34317467.61,42.59
China,1993,27515000000,NA,19.74461989,479528000000,7534,12084,19618,41328050.38,39.75
China,1994,33787000000,NA,18.14166359,566523000000,7876,11191,19067,44218238.27,38.25
China,1995,35849200000,NA,13.82515974,644845000000,8688,10011,18699,51260045.14,38.81
China,1996,40180000000,NA,12.09219828,722821000000,11114,11628,22742,55738272.08,40.15
China,1997,45439000000,NA,10.47803069,798559000000,12102,12672,24774,58041245.9,40.77
China,1998,45644000000,NA,8.903053633,869655000000,33645,13751,47396,57329187.13,40.88
China,1999,41014000000,NA,8.203147969,940994000000,34418,15626,50044,62937534.3,37.98
China,2000,42095300000,20.19335553,9.473841434,1030140000000,26560,25346,51906,77721994.64,34.53
China,2001,47053000000,21.01003069,8.491270534,1117610000000,33412,30038,63450,79364381.21,32.59
China,2002,53073618897,23.17332393,9.894748775,1228200000000,40426,39806,80232,92879736.03,31.47
China,2003,57900937467,24.04671654,12.66723649,1383780000000,48548,56769,105317,118663720.4,28.75
China,2004,68117272181,23.81624743,11.14592233,1538010000000,64598,65786,130384,145141229.9,25.86
China,2005,104109000000,25.28196067,12.12839131,1724550000000,79842,93485,173327,163178008.2,24.73
China,2006,124082000000,26.06887442,13.45069554,1956510000000,88183,122318,210501,178690725.8,22.58
China,2007,156249000000,24.54577259,15.05071426,2250980000000,92101,153060,245161,215977405,22.59
China,2008,171535000000,21.18740811,9.838989907,2472460000000,95259,194579,289838,231035512.9,20.4
China,2009,131057000000,21.89970533,10.29280498,2726940000000,85508,229096,314604,225501442.2,22.43
China,2010,243703000000,20.39987603,12.6835957,3072820000000,98111,293066,391177,291991882.7,20.92
China,2011,280072000000,17.9992439,10.6886752,3401260000000,110583,415829,526412,345799229.2,19.83
China,2012,241214000000,19.55576406,8.363640405,3685730000000,117464,535313,652777,342013337.2,18.81
China,2013,290928000000,20.54718938,7.987214292,3980120000000,120200,704936,825136,355915539.2,18.25
China,2014,268097000000,19.70968641,7.155565422,4264920000000,127042,801135,928177,379388316.9,19.36
China,2015,242489000000,23.34629226,5.926763763,4517690000000,133612,968252,1101864,395537405.8,23.55
China,2016,174750000000,23.75591962,6.03148306,4790170000000,133522,1204981,1338503,357957434,22.54
China,2017,166084000000,22.71918832,5.868289508,5071270000000,135885,1245709,1381594,396325958.5,21.5
China,2018,235365000000,22.67441293,5.792406827,5365020000000,148187,1393815,1542002,449907433.6,21.09
China,2019,187170000000,22.48475262,4.874620602,5626540000000,157093,1243568,1400661,408114727.4,19.63
China,2020,253096000000,25.12121903,2.464845945,5765230000000,152342,1344817,1497159,398334277.2,19.25
Indonesia,1990,1093000000,NA,10.18518519,111383000000,NA,NA,NA,7402053.02,33.9
Indonesia,1991,1482000000,NA,9.841455752,122345000000,1280,34,1314,7961467.16,30.78
Indonesia,1992,1777000000,NA,5.767337988,129401000000,3905,67,3972,9047867.41,33.17
Indonesia,1993,2004000000,NA,7.20589329,138726000000,2031,38,2069,9661879.56,34.11
Indonesia,1994,2109000000,NA,11.16801815,154219000000,2305,29,2334,11008771.15,34.42
Indonesia,1995,4346000000,NA,10.4201668,170288000000,2813,61,2874,14428675.04,35.51
Indonesia,1996,6194000000,NA,10.68953259,188491000000,3957,40,3997,13980441.27,32.57
Indonesia,1997,4677000000,NA,5.17132772,198239000000,3939,79,4018,13602593.78,32.64
Indonesia,1998,-240800000,NA,-13.95133111,170582000000,1753,93,1846,9432589.44,34.51
Indonesia,1999,-1865620963,NA,1.968092928,173939000000,2784,152,2936,8785869.78,36.6
Indonesia,2000,-4550355286,NA,5.890025647,184184000000,3733,157,3890,12122079.46,36.17
Indonesia,2001,-2977391857,NA,2.733944445,189220000000,3714,212,3926,10807078.87,34.9
Indonesia,2002,145085548.7,NA,4.262712502,197286000000,3609,234,3843,10222491,32.67
Indonesia,2003,-596923827.8,3.515213245,3.755080393,204694000000,3099,201,3300,10255250.6,31.51
Indonesia,2004,1896082770,3.829432787,3.941072818,212761000000,3441,227,3668,14709123.08,31.62
Indonesia,2005,8336257208,3.600828906,4.703961793,222769000000,4069,235,4304,16613002.73,28.79
Indonesia,2006,4914201435,3.499214449,4.488549697,232768000000,4324,288,4612,17482910.19,28.63
Indonesia,2007,6928480000,4.95202508,4.719999564,243755000000,4850,284,5134,21259328.77,28.55
